month,hour,day_type,daylight_savings_status,non_shiftable_load,dhw_demand,cooling_demand,heating_demand,solar_generation,carbon_intensity,electricity_pricing,electricity_pricing_predicted_1,electricity_pricing_predicted_2,electricity_pricing_predicted_3,outdoor_dry_bulb_temperature,outdoor_relative_humidity,diffuse_solar_irradiance,direct_solar_irradiance,outdoor_dry_bulb_temperature_predicted_1,outdoor_dry_bulb_temperature_predicted_2,outdoor_dry_bulb_temperature_predicted_3,outdoor_relative_humidity_predicted_1,outdoor_relative_humidity_predicted_2,outdoor_relative_humidity_predicted_3,diffuse_solar_irradiance_predicted_1,diffuse_solar_irradiance_predicted_2,diffuse_solar_irradiance_predicted_3,direct_solar_irradiance_predicted_1,direct_solar_irradiance_predicted_2,direct_solar_irradiance_predicted_3
7,24,7,0,2.18875,0.0,0.0,0.0,0.0,0.1707244,0.22,0.22,0.22,0.22,20.0,84.0,0.0,0.0,18.3,22.8,20.0,81.0,68.0,81.0,25.0,964.0,0.0,100.0,815.0,0.0
8,1,1,0,1.3706666,0.0,0.0,0.0,0.0,0.15731905,0.22,0.22,0.22,0.22,20.1,79.0,0.0,0.0,19.4,22.8,19.4,79.0,71.0,87.0,201.0,966.0,0.0,444.0,747.0,0.0
8,2,1,0,1.10125,0.0,0.0,0.0,0.0,0.15450256,0.22,0.22,0.22,0.22,19.7,78.0,0.0,0.0,21.1,22.2,19.4,73.0,73.0,87.0,420.0,683.0,0.0,592.0,291.0,0.0
8,3,1,0,0.54321665,0.0,0.0,0.0,0.0,0.15094487,0.22,0.22,0.22,0.22,19.3,78.0,0.0,0.0,22.2,22.8,19.4,71.0,71.0,90.0,554.0,522.0,0.0,491.0,153.0,0.0
8,4,1,0,0.5428333,0.0,0.0,0.0,0.0,0.15181987,0.22,0.22,0.54,0.22,18.9,78.0,0.0,0.0,21.7,22.2,18.9,73.0,71.0,90.0,778.0,444.0,0.0,734.0,174.0,0.0
8,5,1,0,1.5124333,0.0,0.0,0.0,0.0,0.15808822,0.22,0.22,0.54,0.22,18.3,81.0,0.0,0.0,22.2,21.1,18.3,71.0,76.0,93.0,903.0,392.0,0.0,811.0,396.0,0.0
8,6,1,0,0.34868333,0.0,0.0,0.0,5.608333,0.16193937,0.22,0.22,0.54,0.22,18.3,81.0,25.0,100.0,22.8,20.6,18.9,68.0,78.0,90.0,964.0,231.0,15.0,815.0,320.0,14.0
8,7,1,0,0.67861664,0.0,0.0,0.0,29.5,0.16434596,0.22,0.22,0.54,0.22,19.4,79.0,201.0,444.0,22.8,20.6,20.0,71.0,73.0,87.0,966.0,27.0,116.0,747.0,143.0,42.0
8,8,1,0,1.5065,0.0,0.0,0.0,96.754166,0.19099815,0.22,0.22,0.54,0.22,21.1,73.0,420.0,592.0,22.2,20.0,20.0,73.0,76.0,87.0,683.0,0.0,252.0,291.0,0.0,74.0
8,9,1,0,1.6521167,0.0,0.0,0.0,225.45416,0.20289886,0.22,0.22,0.22,0.22,22.2,71.0,554.0,491.0,22.8,20.6,20.0,71.0,70.0,84.0,522.0,0.0,292.0,153.0,0.0,35.0
